date,FB,GOOGL,AMZN,DELL,IBM,INTC,AAPL,MSFT,CSCO,ORCL,NVDA,VMW,HPQ,AMD,TSM,TXN,QCOM
2016-02-19,104.57,722.11,534.9,,117.9005,26.4301,91.1982,48.6354,24.0431,35.0884,29.9187,40.8882,9.3444,1.91,21.7309,48.8398,43.6556
2016-02-22,107.16,729.05,559.5,,118.5118,27.0193,91.9958,49.4144,24.1155,35.4032,30.9803,41.4947,9.6704,2.01,21.8954,49.3396,45.2987
2016-02-23,105.46,717.29,552.94,,117.2981,26.513,89.9162,48.0347,23.6537,34.8689,31.0589,40.4147,9.3354,1.97,21.3836,48.3584,44.539
2016-02-24,106.88,720.9,554.04,,117.6524,26.872,91.2551,48.2037,23.8348,34.9453,31.2751,40.8633,9.7971,2.02,21.4019,48.562,45.5107
2016-02-25,108.07,729.12,555.15,,119.1585,27.2679,91.8819,48.8982,24.0883,35.5749,31.3439,41.9516,9.3625,2.03,21.6487,49.1637,45.6167
2016-02-26,107.92,724.86,555.23,,116.9703,27.4336,92.0243,48.1474,23.9163,35.2601,31.1375,42.1675,9.6342,2.07,21.7218,49.3396,45.599
2016-02-29,106.92,717.22,552.52,,116.0843,27.2403,91.8154,47.7532,23.708,35.0884,30.9353,41.9433,9.6794,2.14,21.5207,49.0804,45.2869
2016-03-01,109.82,742.17,579.04,,119.0433,27.9583,95.4618,49.3487,24.2966,36.2427,32.3065,42.1592,9.8967,2.18,22.462,50.1913,46.4639
2016-03-02,109.95,739.48,580.21,,120.7532,28.1148,95.6707,49.696,24.36,36.0233,32.4939,40.8135,9.8696,2.32,22.4985,50.3764,47.1237
2016-03-03,109.58,731.59,577.49,,122.0821,28.1516,96.3829,49.1328,24.3329,36.1473,32.2078,41.0627,10.0597,2.46,22.4437,50.793,46.7047
2016-03-04,108.39,730.22,575.14,,122.0821,28.1977,97.8168,48.8325,24.2695,36.1473,32.1092,41.0793,10.1231,2.37,22.5259,50.8115,46.9543
2016-03-07,105.73,712.8,562.8,,124.1641,28.4831,96.7343,47.894,24.5774,36.5957,31.902,41.8186,10.3557,2.47,22.5716,51.3669,47.525
2016-03-08,105.93,713.53,560.26,,123.2072,28.1332,95.9366,48.4759,24.4959,36.3954,31.32,40.6556,10.1176,2.3,22.5259,50.4782,46.776
2016-03-09,107.51,725.41,559.47,,124.3944,28.414,96.0221,49.5927,25.003,36.7102,31.3003,40.8716,10.4015,2.26,22.6082,50.6819,46.3212
2016-03-10,107.32,732.17,558.93,,124.1995,28.7684,96.0695,48.8513,24.7947,36.3,31.251,40.9381,10.4564,2.26,22.6082,51.3669,46.3837
2016-03-11,109.41,744.87,569.61,,126.122,29.2379,97.1046,49.8086,25.2294,37.1586,31.7836,41.2205,10.7128,2.52,23.1656,51.8945,46.562
2016-03-14,109.89,750.24,573.37,,126.4941,28.9341,97.3515,49.9024,25.0845,36.9201,31.8626,41.2704,10.5022,2.72,23.0468,51.478,46.4461
2016-03-15,110.67,750.57,577.02,,126.6535,29.1367,99.3076,50.2966,25.0483,36.9582,31.7047,40.855,10.4381,2.49,22.7361,51.5891,46.0359
2016-03-16,112.18,757.36,574.27,,128.2748,29.1735,100.6275,51.0099,25.2475,38.3702,32.6517,41.4116,10.6395,2.63,23.5586,51.9686,45.7417
2016-03-17,111.02,758.48,559.44,,130.2682,29.4405,100.4661,51.3009,25.5282,38.7422,32.3755,42.8072,10.7311,2.8,23.5494,52.3944,45.813
2016-03-18,111.45,755.41,552.08,,130.3125,30.0849,100.5801,50.2028,25.655,39.5722,33.3521,42.7989,11.1523,2.93,23.7962,52.848,46.0003
2016-03-21,111.85,762.16,553.98,,131.6768,29.7719,100.5706,50.55,25.5282,39.6962,33.4507,43.505,11.1797,2.8,23.6956,52.7832,46.5531
